time,remaining_qty,slice_qty,mid_now,best_bid,best_ask,spread_ticks,imbalance,vol_ema,time_ratio,fill_ratio,schedule_error,ml_ready,ml_predicted_move,ml_urgency,ml_triggered,forced_ioc,skip,raw_action,final_action,ml_horizon_ms,ml_threshold
1767539700000,3564,11,913085,913085,913086,1,-0.14,2.24942e-05,0.519345,0.490857,0.0284881,1,27.5469,27.5469,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767540600000,3553,11,912413,912413,912414,1,0.599518,2.17046,0.520833,0.492429,0.0284048,1,20.4821,20.4821,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767541500000,3542,11,912107,912107,912108,1,0.301974,7.39945e-05,0.522321,0.494,0.0283214,1,24.1179,24.1179,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767542400000,3531,11,913271,913271,913272,1,-0.297536,1.03175e-05,0.52381,0.495571,0.0282381,1,27.7852,27.7852,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767543300000,3520,11,912787,912787,912788,1,0.588266,2.77294,0.525298,0.497143,0.0281548,1,18.4611,18.4611,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767544200000,3509,11,913379,913379,913380,1,0.392746,0.000116352,0.526786,0.498714,0.0280714,1,23.6769,23.6769,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767545100000,3498,11,913008,913008,913009,1,-0.26498,0.00371351,0.528274,0.500286,0.0279881,1,27.5889,27.5889,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767546000000,3487,11,913172,913172,913173,1,0.236744,8.00352e-05,0.529762,0.501857,0.0279048,1,24.0681,24.0681,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767546900000,3476,11,913426,913426,913427,1,-0.110928,0.0059013,0.53125,0.503429,0.0278214,1,26.0251,26.0251,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767547800000,3465,11,913635,913635,913636,1,0.741429,0.132038,0.532738,0.505,0.0277381,1,20.1535,20.1535,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767548700000,3454,11,913850,913850,913851,1,0.318217,1.75721e-06,0.534226,0.506571,0.0276548,1,22.6697,22.6697,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767549600000,3443,11,913367,913367,913368,1,-0.0743802,0.000564099,0.535714,0.508143,0.0275714,1,25.0068,25.0068,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767550500000,3432,11,912425,912425,912426,1,0.647833,1.08072,0.537202,0.509714,0.0274881,1,19.4544,19.4544,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767551400000,3421,11,911755,911755,911756,1,-0.16158,0.0066065,0.53869,0.511286,0.0274048,1,25.0928,25.0928,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767552300000,3410,11,912309,912309,912310,1,-0.031947,2.8991e-06,0.540179,0.512857,0.0273214,1,23.9364,23.9364,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767553200000,3399,11,912065,912065,912066,1,0.244314,1.5433e-05,0.541667,0.514429,0.0272381,1,21.7793,21.7793,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767554100000,3388,11,910050,910050,910051,1,-0.0153218,0.00524736,0.543155,0.516,0.0271548,1,23.3017,23.3017,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767555000000,3377,11,911214,911214,911215,1,-0.301587,0.292864,0.544643,0.517571,0.0270714,1,22.5689,22.5689,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767555900000,3366,11,910616,910616,910617,1,0.747178,0.0167898,0.546131,0.519143,0.0269881,1,13.5151,13.5151,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767556800000,3355,11,911362,911362,911363,1,-0.444813,9.21227e-07,0.547619,0.520714,0.0269048,1,21.8256,21.8256,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767557700000,3344,11,912564,912564,912565,1,-0.354289,0.00257321,0.549107,0.522286,0.0268214,1,20.9312,20.9312,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767558600000,3333,11,913320,913320,913321,1,-0.532354,0.0420187,0.550595,0.523857,0.0267381,1,21.9318,21.9318,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767559500000,3322,11,912855,912855,912856,1,-0.209358,1.39088e-06,0.552083,0.525429,0.0266548,1,19.4295,19.4295,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767560400000,3311,11,913132,913132,913133,1,0.492179,3.99059,0.553571,0.527,0.0265714,1,11.2647,11.2647,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767561300000,3300,11,913446,913446,913447,1,-0.497216,0.962364,0.55506,0.528571,0.0264881,1,20.1944,20.1944,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767562200000,3289,11,913032,913032,913033,1,-0.0805108,1.83915e-05,0.556548,0.530143,0.0264048,1,17.9599,17.9599,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767563100000,3278,11,912119,912119,912120,1,0.0529628,0.000556856,0.558036,0.531714,0.0263214,1,16.8159,16.8159,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767564000000,3267,11,912774,912774,912775,1,0.377899,0.0165791,0.559524,0.533286,0.0262381,1,14.2997,14.2997,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767564900000,3256,11,911813,911813,911814,1,0.126322,0.00454253,0.561012,0.534857,0.0261548,1,14.6947,14.6947,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767565800000,3245,11,912763,912763,912764,1,-0.60055,0.352101,0.5625,0.536429,0.0260714,1,19.6319,19.6319,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767566700000,3234,11,911908,911908,911909,1,-0.245241,0.00222633,0.563988,0.538,0.0259881,1,17.1117,17.1117,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767567600000,3223,11,912085,912085,912086,1,0.27884,0.00439867,0.565476,0.539571,0.0259048,1,12.9938,12.9938,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767568500000,3212,11,913382,913382,913383,1,-0.0715649,7.77165,0.566964,0.541143,0.0258214,1,7.67303,7.67303,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767569400000,3201,11,913710,913698,913723,25,0.861629,4.81935,0.568452,0.542714,0.0257381,1,543.936,543.936,0,0,1,exec_skip,exec_skip,1000,0.05
1767570300000,3201,12,913203,913203,913204,1,-0.248268,0.584984,0.56994,0.542714,0.0272262,1,-69.2931,-69.2931,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
