time,bid,ask,mid,spread,microprice,bid_depth,ask_depth,imbalance,mm_bid_queue,mm_ask_queue
1767742094397,934999,935000,934999,1,934999,692,1093,-0.22465,-1,-1
1767742106397,935050,935051,935050,1,935051,1846,622,0.495948,-1,-1
1767742118598,935186,935187,935186,1,935186,616,1031,-0.251973,-1,-1
1767742130597,935189,935190,935189,1,935189,744,1016,-0.154545,-1,-1
1767742142597,935209,935210,935209,1,935210,1151,642,0.283882,-1,-1
1767742154597,935291,935292,935291,1,935292,1185,820,0.182045,-1,-1
1767742166797,935291,935292,935291,1,935292,1187,866,0.156357,-1,-1
1767742178597,935156,935157,935156,1,935156,770,1627,-0.35753,-1,-1
1767742190797,935283,935284,935283,1,935284,2617,125,0.908826,-1,-1
1767742202797,935343,935344,935343,1,935344,1806,143,0.853258,-1,-1
1767742214797,935460,935461,935460,1,935461,2212,212,0.825083,-1,-1
1767742226797,935379,935380,935379,1,935379,1088,1762,-0.236491,-1,-1
1767742238797,935415,935416,935415,1,935416,1430,785,0.291196,-1,-1
1767742250798,935373,935374,935373,1,935373,511,1336,-0.44667,-1,-1
1767742262798,935458,935459,935458,1,935459,2048,488,0.615142,-1,-1
1767742274798,935458,935459,935458,1,935459,1946,1067,0.291736,-1,-1
1767742286797,935913,935914,935913,1,935914,1669,165,0.820065,-1,-1
1767742298798,935714,935715,935714,1,935714,876,1032,-0.081761,-1,-1
1767742310798,935647,935648,935647,1,935647,531,1197,-0.385417,-1,-1
1767742322797,935629,935630,935629,1,935630,1225,648,0.308062,-1,-1
1767742334797,935629,935630,935629,1,935629,661,1162,-0.274822,-1,-1
1767742347197,935969,935970,935969,1,935970,1337,615,0.369877,-1,-1
1767742359398,936243,936244,936243,1,936244,1748,216,0.780041,-1,-1
1767742371397,936080,936081,936080,1,936081,1694,354,0.654297,-1,-1
1767742383397,935980,935981,935980,1,935980,307,1740,-0.700049,-1,-1
1767742395397,936053,936054,936053,1,936054,1491,607,0.421354,-1,-1
1767742407397,936072,936073,936072,1,936072,188,1651,-0.795541,-1,-1
1767742419397,936006,936007,936006,1,936006,500,1929,-0.588308,-1,-1
1767742431397,935885,935886,935885,1,935885,480,1180,-0.421687,-1,-1
1767742443397,935773,935774,935773,1,935773,952,1666,-0.272727,-1,-1
1767742455398,935773,935774,935773,1,935774,1029,773,0.142064,-1,-1
1767742467397,935773,935774,935773,1,935773,794,877,-0.0496709,-1,-1
1767742479397,935773,935774,935773,1,935773,786,971,-0.105293,-1,-1
1767742491397,935773,935774,935773,1,935774,1584,878,0.286759,-1,-1
1767742503397,935850,935851,935850,1,935851,1483,511,0.487462,-1,-1
1767742515397,936149,936150,936149,1,936150,1376,1117,0.103891,-1,-1
1767742527397,936153,936154,936153,1,936154,1898,327,0.706067,-1,-1
1767742539397,936315,936316,936315,1,936316,1430,304,0.649366,-1,-1
